team,win_ratio
Chennai Super Kings,0.6097560975609756
Deccan Chargers,0.38666666666666666
Delhi Capitals,0.625
Delhi Daredevils,0.4161490683229814
Gujarat Lions,0.43333333333333335
Kings XI Punjab,0.4659090909090909
Kochi Tuskers Kerala,0.42857142857142855
Kolkata Knight Riders,0.5168539325842697
Mumbai Indians,0.5828877005347594
Pune Warriors,0.2608695652173913
Rajasthan Royals,0.5102040816326531
Rising Pune Supergiant,0.625
Rising Pune Supergiants,0.35714285714285715
Royal Challengers Bangalore,0.4666666666666667
Sunrisers Hyderabad,0.5370370370370371
